Changed database context to 'DB_AI'.
TABLE_CATALOG TABLE_SCHEMA TABLE_NAME COLUMN_NAME ORDINAL_POSITION COLUMN_DEFAULT IS_NULLABLE DATA_TYPE CHARACTER_MAXIMUM_LENGTH CHARACTER_OCTET_LENGTH NUMERIC_PRECISION NUMERIC_PRECISION_RADIX NUMERIC_SCALE DATETIME_PRECISION CHARACTER_SET_CATALOG CHARACTER_SET_SCHEMA CHARACTER_SET_NAME COLLATION_CATALOG COLLATION_SCHEMA COLLATION_NAME DOMAIN_CATALOG DOMAIN_SCHEMA DOMAIN_NAME
DB_AI dbo COURSE WIGHT_IMPORTANT_1 7 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo COURSE WIGHT_IMPORTANT_2 8 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo COURSE WIGHT_IMPORTANT_3 9 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo COURSE EVELUATE 10 NULL YES float NULL NULL 53 2 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo COURSE datetime 11 NULL YES datetime NULL NULL NULL NULL NULL 3 NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo VOICE id 1 NULL NO int NULL NULL 10 10 0 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo VOICE TYPE 2 NULL YES int NULL NULL 10 10 0 NULL NULL NULL NULL NULL NULL NULL NULL NULL NULL
DB_AI dbo VOICE COMMEND 3 NULL YES nvarchar 50 100 NULL NULL NULL NULL NULL NULL UNICODE NULL NULL SQL_Latin1_General_CP1_CI_AS NULL NULL NULL
DB_AI dbo VOICE RESPOND 4 NULL YES nvarchar 50 100 NULL NULL NULL NULL NULL NULL UNICODE NULL NULL SQL_Latin1_General_CP1_CI_AS NULL NULL NULL
DB_AI dbo VOICE datetime 5 NULL YES datetime NULL NULL NULL NULL NULL 3 NULL NULL NULL NULL NULL NULL NULL NULL NULL

(143 個受影響的資料列)
